Price,Close,High,Low,Open,Volume,EMA_12,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Hist,RSI_14
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,,,,,,,,,
2025-03-18,29.75507164001465,30.683830650642246,29.30807431157439,30.678864855712217,175652400,32.14513957199738,35.14675632209101,37.32377002477047,36.09320174378792,-3.001616750093625,-2.6115327851635173,-0.3900839649301075,30.85173614697817
2025-03-19,30.91229820251465,31.74172429512273,29.76997207325252,30.137503434728064,185186400,31.95547166900004,34.833092757677946,37.07233975723103,36.04165046477028,-2.8776210886779054,-2.664750445866395,-0.2128706428115103,39.17051237660406
2025-03-20,30.594432830810547,31.602659771504655,29.98353771215748,30.127570402916422,176818200,31.74608107850935,34.51911794828036,36.81830419148905,35.98744929428312,-2.773036869771012,-2.686407730647318,-0.0866291391236933,33.66045518613714
2025-03-21,30.882497787475582,31.001695816753248,29.337875939665217,29.566340407962834,160982000,31.613222110658,34.24973867710963,36.58552746976303,35.93665375690195,-2.636516566451633,-2.6764294978081815,0.0399129313565489,39.17809006124426
2025-03-24,32.84431457519531,33.0429804831369,32.19368742119271,32.312885450262854,126823000,31.802620951356047,34.14563318807894,36.438813238603515,35.90588421280537,-2.343012236722892,-2.6097460455911237,0.2667338088682318,45.992945333789116
2025-03-25,33.43037796020508,33.460180310328106,32.824448627277775,33.018150640747464,111139400,32.05304510656359,34.09265131934754,36.32083538454867,35.88125230979442,-2.0396062127839514,-2.4957180790296896,0.4561118662457382,43.84171851847081
2025-03-26,31.57136344909668,33.36960451828171,31.2625226204141,33.19526042161262,157006400,31.978940236184062,33.905889254884514,36.1345815831584,35.838367843518824,-1.9269490187004512,-2.381964266963842,0.4550152482633907,46.558855808695256
2025-03-27,31.033384323120117,31.99477373452794,30.759414212202856,31.182822392692422,144736000,31.833470095712688,33.693111111790856,35.93453463178435,35.790557062221325,-1.859641016078168,-2.2774996167867076,0.4178586007085396,43.090148073603814
2025-03-28,28.562667846679688,30.789301257936035,28.378360965498526,30.65480643106068,207264200,31.33026974970761,33.31307827733818,35.64544181668221,35.7186377665443,-1.9828085276305671,-2.2185613989554795,0.2357528713249124,46.51608977533372
2025-03-31,28.542743682861328,28.707126890611473,26.420718520559088,27.257573995885984,213709000,30.901419585577415,32.95972015922878,35.366904634963745,35.647235835363375,-2.0583005736513655,-2.186509233894657,0.1282086602432914,47.46461567234851
